Address,Parcel ID,Contractor Name,Price,Demolition Date,Commercial Building,Council_District,Latitude,Longitude
14300 Grandville,22088347,DMC Consultants,"$10,761.00 ",5/20/14,No,1,42.391361,-83.230654
15632 La Salle Blvd,8010288,Adamo,"$7,269.00 ",8/11/14,No,2,42.4073,-83.12471
14034 Winthrop,22051772,Homrich,"$9,600.00 ",5/19/14,No,1,42.388988,-83.198978
1989 Louise,8005387,Adamo,"$9,335.00 ",7/15/14,No,2,42.411674,-83.120363
6349 Pilgrim,16007375,Able Demolition,"$7,347.75 ",7/9/14,No,2,42.407327,-83.141493
6345 Pilgrim,16007374,Homrich,"$9,800.00 ",5/17/14,No,2,42.407328,-83.141381
18246 Kentfield,22100353,MCM,"$9,247.00 ",9/18/14,No,1,42.423706,-83.241243
4720 Alter,21062897,Adamo,"$23,000.00 ",7/30/14,No,4,42.395098,-82.952577
15586 Wabash,8008997,Adamo,"$9,452.00 ",6/23/14,No,2,42.406806,-83.118783
16559 Turner,16027971,Adamo,"$12,795.00 ",7/24/14,No,2,42.413094,-83.14921
15640 Baylis,8009992,Adamo,"$5,777.00 ",8/6/14,No,2,42.407436,-83.123493
16544 Woodingham,16028364,ABC Demolition,"$8,800.00 ",6/13/14,No,2,42.412925,-83.149627
1121 Solvay,18009448,Homrich,"$5,800.00 ",5/14/14,No,6,42.304532,-83.117883
18459 Vaughan,22098113,Adamo,"$7,355.85 ",9/17/14,No,1,42.425342,-83.239919
147 Woodmere,20008482,Homrich,"$8,200.00 ",5/15/14,No,6,42.293824,-83.129919
15769 Muirland,12011874,Adamo,"$15,014.58 ",5/13/14,No,2,42.407428,-83.133787
717 Calvert,4002813,Homrich,"$14,900.00 ",1/20/15,No,5,42.3873,-83.091127
13618 Minock,22090755-6,Homrich,"$8,200.00 ",7/9/14,No,1,42.385704,-83.232824
100 Marston,1002314,ABC Demolition,"$14,300.00 ",7/25/14,No,5,42.375327,-83.074438
356 Chalmers,21055111,Able Demolition,"$7,707.56 ",6/12/14,No,4,42.364168,-82.938454
2431 Mclean,9005761,Adamo,"$11,024.87 ",9/4/14,No,3,42.407716,-83.070039
551 Chandler,3001994,ABC Demolition,"$16,750.00 ",8/1/14,No,5,42.376805,-83.069219
840 Chalmers,21055180,Able Demolition,"$7,736.60 ",6/12/14,No,4,42.371721,-82.943415
5109 Lakepointe,21065114,Adamo,"$9,778.00 ",7/3/14,No,4,42.399506,-82.952697
1205 Burlingame,6003025,Homrich,"$15,200.00 ",5/6/14,No,5,42.387822,-83.098807
1223 Burlingame,6003027,Able Demolition,"$11,400.38 ",8/27/14,No,5,42.387726,-83.099073
764 Conner,21046016,Homrich,"$7,750.00 ",6/19/14,No,4,42.365998,-82.956096
4837 Radnor,21078446-7,Adamo,"$4,920.00 ",7/3/14,No,4,42.408835,-82.918054
5080 Wayburn,21063449,ABC Demolition,"$8,625.00 ",8/14/14,No,4,42.398597,-82.954064
650 Algonquin,21046805,Able Demolition,"$7,362.90 ",6/16/14,No,4,42.365041,-82.953213
1251 BURLINGAME,6003030,Able Demolition,"$12,964.36 ",5/23/14,No,5,42.387546,-83.099573
852 Philip,21060025,Homrich,"$15,550.00 ",6/20/14,No,4,42.372682,-82.941156
681 Algonquin,21047193,Able Demolition,"$9,786.90 ",8/14/14,No,4,42.365288,-82.954041
15500 Rossini Drive,21024767,MCM,"$11,999.10 ",7/24/14,No,3,42.443465,-82.961359
515 Algonquin,21047219,Homrich,"$8,200.00 ",5/20/14,No,4,42.363041,-82.952571
19955 Dresden,21034837,Adamo,"$16,965.18 ",8/6/14,No,3,42.44305,-83.000473
421 Lakewood,21055027,Blue Star,"$10,700.00 ",6/23/14,No,4,42.364704,-82.941154
6007 Lakeview,21052441,Adamo,"$21,293.98 ",10/2/14,No,4,42.401708,-82.968804
642 Conner,21045995,Homrich,"$9,350.00 ",6/19/14,No,4,42.364262,-82.954945
14026 Fairmount Dr,21025282,Homrich,"$14,149.48 ",7/25/14,No,3,42.44387,-82.979678
2962 Meade,9005790,Homrich,"$11,574.43 ",8/5/14,No,3,42.409862,-83.065157
16061 Coram,21022189,Homrich,"$14,718.15 ",8/4/14,No,3,42.438575,-82.954599
4820 Bedford,21070790,Brown Environmental Construction,"$3,655.00 ",9/4/14,No,4,42.400739,-82.939774
2174 Philip,21060096,Den-Man Contractors,"$6,000.00 ",1/15/14,No,4,42.380557,-82.946338
19645 Albion,17014333,Adamo,"$14,501.70 ",8/6/14,No,3,42.439346,-83.00623
4522 Van Dyke,17009358,ABC Demolition,"$18,300.00 ",10/23/14,No,5,42.37295,-83.010103
630 Chandler,3001975,Blue Star,"$12,900.00 ",9/10/14,No,5,42.376786,-83.067569
4816 Seminole,17007724,MCM,"$23,841.50 ",9/9/14,No,5,42.3766,-83.008946
19586 Dresden,21034744,Adamo,"$11,059.74 ",8/13/14,No,3,42.439442,-82.999637
19568 Annott,21035474,Adamo,"$11,803.62 ",8/12/14,No,3,42.439176,-83.002072
50 Melbourne,1002459,Able Demolition,"$7,014.45 ",5/20/14,No,5,42.376554,-83.07631
248 Rosedale Ct,1003443,Blue Star,"$16,900.00 ",8/28/14,No,5,42.392331,-83.083199
5520 Philip,21060297,Homrich,"$6,974.70 ",9/17/14,No,4,42.399953,-82.958816
5500 Philip,21060295,Homrich,"$4,337.27 ",9/3/14,No,4,42.399762,-82.958689
19454 Helen,15009193,Homrich,"$15,858.64 ",8/2/14,No,3,42.43799,-83.031643
12341 Kilbourne,21010087,Brown Environmental Construction,"$12,650.00 ",12/15/14,No,4,42.412142,-82.986382
12296 Longview,21007577,Able Demolition,"$10,333.82 ",1/12/15,No,4,42.405817,-82.98325
5267 24th St,12008829,DMC Consultants,"$10,437.00 ",8/28/14,No,6,42.347611,-83.102733
12126 Christy,21013136,Adamo,"$24,532.00 ",11/21/14,No,4,42.416411,-82.993685
12714 Hampshire,21005532,Able Demolition,"$11,179.19 ",1/12/15,No,4,42.402647,-82.976219
1448 W Philadelphia,6001976,Adamo,"$15,831.70 ",10/3/14,No,5,42.373281,-83.091282
11203 Craft,21069590,Adamo,"$14,712.13 ",10/1/14,No,4,42.418044,-82.963618
3027 Van Dyke,17010229,MCM,"$20,921.00 ",9/17/14,No,5,42.363886,-83.004234
4108 Seminole,17007660,MCM,"$14,323.00 ",9/10/14,No,5,42.371108,-83.004972
4845 Parker,17008987-8,Adamo,"$19,362.41 ",9/15/14,No,5,42.375393,-83.011301
4851 Parker,17008986,ABC Demolition,"$11,550.00 ",10/20/14,No,5,42.375502,-83.01138
4833 Parker,17008989,ABC Demolition,"$13,550.00 ",10/20/14,No,5,42.375285,-83.011223
16032 Rossini Drive,21024726,MCM,"$10,065.30 ",7/24/14,No,3,42.443591,-82.955207
14211 Wilshire,21008660,Able Demolition,"$7,938.60 ",3/13/14,No,4,42.412559,-82.97247
15603 Liberal,21022934,Homrich,"$9,958.57 ",7/24/14,No,3,42.440287,-82.960629
